timestamp,switch_id,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tx_errors,rx_errors,is_congested
1780684925,1,1,516,516,0.0,0.0,0,0,0
1780684925,1,2,516,516,0.0,0.0,0,0,0
1780684925,3,1,516,516,0.0,0.0,0,0,0
1780684925,3,2,516,516,0.0,0.0,0,0,0
1780684925,2,1,516,516,0.0,0.0,0,0,0
1780684925,2,2,516,516,0.0,0.0,0,0,0
1780684925,2,3,516,516,0.0,0.0,0,0,0
1780684930,1,1,586,586,0.11,0.11,0,0,0
1780684930,1,2,586,586,0.11,0.11,0,0,0
1780684930,3,1,586,586,0.11,0.11,0,0,0
1780684930,3,2,586,586,0.11,0.11,0,0,0
1780684930,2,1,586,586,0.11,0.11,0,0,0
1780684930,2,2,586,586,0.11,0.11,0,0,0
1780684930,2,3,586,586,0.11,0.11,0,0,0
1780684935,1,1,656,656,0.11,0.11,0,0,0
1780684935,1,2,656,656,0.11,0.11,0,0,0
1780684935,3,1,656,656,0.11,0.11,0,0,0
1780684935,3,2,656,656,0.11,0.11,0,0,0
1780684935,2,1,656,656,0.11,0.11,0,0,0
1780684935,2,2,656,656,0.11,0.11,0,0,0
1780684935,2,3,656,656,0.11,0.11,0,0,0
1780684940,1,1,656,656,0.0,0.0,0,0,0
1780684940,1,2,656,656,0.0,0.0,0,0,0
1780684940,3,1,656,656,0.0,0.0,0,0,0
1780684940,3,2,656,656,0.0,0.0,0,0,0
1780684940,2,1,656,656,0.0,0.0,0,0,0
1780684940,2,2,656,656,0.0,0.0,0,0,0
1780684940,2,3,656,656,0.0,0.0,0,0,0
1780684945,1,1,656,656,0.0,0.0,0,0,0
1780684945,1,2,656,656,0.0,0.0,0,0,0
1780684945,2,1,656,656,0.0,0.0,0,0,0
1780684945,2,2,656,656,0.0,0.0,0,0,0
1780684945,2,3,656,656,0.0,0.0,0,0,0
1780684945,3,1,656,656,0.0,0.0,0,0,0
1780684945,3,2,656,656,0.0,0.0,0,0,0
1780684950,1,1,656,656,0.0,0.0,0,0,0
1780684950,1,2,656,656,0.0,0.0,0,0,0
1780684950,2,1,726,726,0.11,0.11,0,0,0
1780684950,2,2,656,656,0.0,0.0,0,0,0
1780684950,2,3,656,726,0.0,0.11,0,0,0
1780684950,3,1,726,726,0.11,0.11,0,0,0
1780684950,3,2,726,656,0.11,0.0,0,0,0
1780684955,1,1,726,726,0.11,0.11,0,0,0
1780684955,1,2,726,726,0.11,0.11,0,0,0
1780684955,2,1,726,726,0.0,0.0,0,0,0
1780684955,2,2,726,726,0.11,0.11,0,0,0
1780684955,2,3,726,726,0.11,0.0,0,0,0
1780684955,3,1,726,726,0.0,0.0,0,0,0
1780684955,3,2,726,726,0.0,0.11,0,0,0
1780684960,1,1,726,726,0.0,0.0,0,0,0
1780684960,1,2,726,726,0.0,0.0,0,0,0
1780684960,3,1,726,726,0.0,0.0,0,0,0
1780684960,3,2,726,726,0.0,0.0,0,0,0
1780684960,2,1,726,726,0.0,0.0,0,0,0
1780684960,2,2,726,726,0.0,0.0,0,0,0
1780684960,2,3,726,726,0.0,0.0,0,0,0
1780684965,3,1,726,726,0.0,0.0,0,0,0
1780684965,3,2,726,726,0.0,0.0,0,0,0
1780684965,1,1,726,726,0.0,0.0,0,0,0
1780684965,1,2,726,726,0.0,0.0,0,0,0
1780684965,2,1,726,726,0.0,0.0,0,0,0
1780684965,2,2,726,726,0.0,0.0,0,0,0
1780684965,2,3,726,726,0.0,0.0,0,0,0
1780684970,1,1,726,726,0.0,0.0,0,0,0
1780684970,1,2,726,726,0.0,0.0,0,0,0
1780684970,3,1,726,726,0.0,0.0,0,0,0
1780684970,3,2,726,726,0.0,0.0,0,0,0
1780684970,2,1,726,726,0.0,0.0,0,0,0
1780684970,2,2,726,726,0.0,0.0,0,0,0
1780684970,2,3,726,726,0.0,0.0,0,0,0
1780684975,1,1,726,726,0.0,0.0,0,0,0
1780684975,1,2,726,726,0.0,0.0,0,0,0
1780684975,2,1,726,726,0.0,0.0,0,0,0
1780684975,2,2,726,726,0.0,0.0,0,0,0
1780684975,2,3,726,726,0.0,0.0,0,0,0
1780684975,3,1,726,726,0.0,0.0,0,0,0
1780684975,3,2,726,726,0.0,0.0,0,0,0
1780684980,1,1,726,726,0.0,0.0,0,0,0
1780684980,1,2,726,726,0.0,0.0,0,0,0
1780684980,3,1,796,796,0.11,0.11,0,0,0
1780684980,3,2,796,726,0.11,0.0,0,0,0
1780684980,2,1,726,796,0.0,0.11,0,0,0
1780684980,2,2,726,726,0.0,0.0,0,0,0
1780684980,2,3,726,796,0.0,0.11,0,0,0
1780684985,1,1,796,726,0.11,0.0,0,0,0
1780684985,1,2,726,796,0.0,0.11,0,0,0
1780684985,3,1,796,922,0.0,0.2,0,0,0
1780684985,3,2,796,726,0.0,0.0,0,0,0
1780684985,2,1,796,796,0.11,0.0,0,0,0
1780684985,2,2,796,726,0.11,0.0,0,0,0
1780684985,2,3,726,796,0.0,0.0,0,0,0
1780684990,1,1,796,796,0.0,0.11,0,0,0
1780684990,1,2,796,796,0.11,0.0,0,0,0
1780684990,3,1,796,922,0.0,0.0,0,0,0
1780684990,3,2,796,796,0.0,0.11,0,0,0
1780684990,2,1,796,796,0.0,0.0,0,0,0
1780684990,2,2,796,796,0.0,0.11,0,0,0
1780684990,2,3,796,796,0.11,0.0,0,0,0
1780684995,1,1,796,796,0.0,0.0,0,0,0
1780684995,1,2,796,796,0.0,0.0,0,0,0
1780684995,3,1,796,922,0.0,0.0,0,0,0
1780684995,3,2,796,796,0.0,0.0,0,0,0
1780684995,2,1,796,796,0.0,0.0,0,0,0
1780684995,2,2,796,796,0.0,0.0,0,0,0
1780684995,2,3,796,796,0.0,0.0,0,0,0
